--- When using SR data, please cite us and provide a link and/or a mention.

Player,6MOY,-9999
Malcolm Brogdon,1,brogdma01
Tyler Herro,1,herroty01
Jordan Clarkson,1,clarkjo01
Montrezl Harrell,1,harremo01
Lou Williams,3,willilo02
Eric Gordon,1,gordoer01
Jamal Crawford,3,crawfja01
J.R. Smith,1,smithjr01
James Harden,1,hardeja01
Lamar Odom,1,odomla01
Jason Terry,1,terryja01
Manu Ginóbili,1,ginobma01
Leandro Barbosa,1,barbole01
Mike Miller,1,millemi01
Ben Gordon,1,gordobe01
Antawn Jamison,1,jamisan01
Bobby Jackson,1,jacksbo01
Corliss Williamson,1,willico02
Aaron McKie,1,mckieaa01
Rodney Rogers,1,rogerro01
Darrell Armstrong,1,armstda01
Danny Manning,1,mannida01
John Starks,1,starkjo01
Toni Kukoč,1,kukocto01
Anthony Mason,1,masonan01
Dell Curry,1,curryde01
Clifford Robinson,1,robincl02
Detlef Schrempf,2,schrede01
Ricky Pierce,2,piercri01
Eddie Johnson,1,johnsed03
Roy Tarpley,1,tarplro01
Bill Walton,1,waltobi01
Kevin McHale,2,mchalke01
Bobby Jones,1,jonesbo01

Provided by <a href="https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool">Basketball-Reference.com</a>: <a href="https://www.basketball-reference.com/awards/smoy.html?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#smoy_NBA">View Original Table</a><br>Generated 4/19/2024.
