--- When using SR data, please cite us and provide a link and/or a mention.

Player,AS
LeBron James,20
Kareem Abdul-Jabbar,18
Kobe Bryant,15
Tim Duncan,15
Kevin Garnett,14
Dirk Nowitzki,14
Bob Cousy,13
Wilt Chamberlain,13
John Havlicek,13
Michael Jordan,13
Bill Russell,12
Oscar Robertson,12
Jerry West,12
Elvin Hayes,12
Hakeem Olajuwon,12
Karl Malone,12
Shaquille O'Neal,12
Dwyane Wade,12
Dolph Schayes,11
Bob Pettit,11
Elgin Baylor,11
Julius Erving,11
Moses Malone,11
Magic Johnson,11
Isiah Thomas,11
Chris Paul,11
Kevin Durant,11
Hal Greer,10
Larry Bird,10
John Stockton,10
David Robinson,10
Ray Allen,10
Paul Pierce,10
Carmelo Anthony,10
Paul Arizin,9
Lenny Wilkens,9
George Gervin,9
Robert Parish,9
Clyde Drexler,9
Charles Barkley,9
Patrick Ewing,9
Gary Payton,9
Jason Kidd,9
Allen Iverson,9
Chris Bosh,9
Russell Westbrook,9
Paul George,9
James Harden,9
Stephen Curry,9
Bill Sharman,8
Dave DeBusschere,8
Bob Lanier,8
Alex English,8
Dominique Wilkins,8
Dikembe Mutombo,8
Dwight Howard,8
Kyrie Irving,8
Giannis Antetokounmpo,8
Harry Gallatin,7
Ed Macauley,7
Dick McGuire,7
Larry Foust,7
Slater Martin,7
Jerry Lucas,7
Chet Walker,7
Willis Reed,7
Rick Barry,7
Dave Bing,7
Walt Frazier,7
Jo Jo White,7
Jack Sikma,7
Kevin McHale,7
James Worthy,7
Scottie Pippen,7
Vince Carter,7
Tracy McGrady,7
Steve Nash,7
LaMarcus Aldridge,7
Anthony Davis,7
Damian Lillard,7
Vern Mikkelsen,6
Neil Johnston,6
George Yardley,6
Jack Twyman,6
Richie Guerin,6
Bailey Howell,6
Lou Hudson,6
Dave Cowens,6
Tiny Archibald,6
Walter Davis,6
Artis Gilmore,6
Adrian Dantley,6
Joe Dumars,6
Shawn Kemp,6
Grant Hill,6
Yao Ming,6
Amar'e Stoudemire,6
Pau Gasol,6
Tony Parker,6
Joe Johnson,6
DeMar DeRozan,6
Kyle Lowry,6
Kawhi Leonard,6
Nikola Jokić,6
Andy Phillip,5
Bobby Wanzer,5
Tom Heinsohn,5
Larry Costello,5
Gene Shue,5
Sam Jones,5
Don Ohl,5
Gus Johnson,5
Nate Thurmond,5
Wes Unseld,5
Gail Goodrich,5
Bob McAdoo,5
Rudy Tomjanovich,5
Paul Westphal,5
Dennis Johnson,5
Marques Johnson,5
Sidney Moncrief,5
Brad Daugherty,5
Reggie Miller,5
Tim Hardaway,5
Mitch Richmond,5
Jermaine O'Neal,5
Chauncey Billups,5
Al Horford,5
Blake Griffin,5
Klay Thompson,5
Joel Embiid,5
Luka Dončić,5
Jayson Tatum,5
Bob Davies,4
George Mikan,4
Jim Pollard,4
Carl Braun,4
Mel Hutchins,4
Dick Garmaker,4
Willie Naulls,4
Cliff Hagan,4
Tom Gola,4
Wayne Embry,4
Johnny Green,4
Walt Bellamy,4
Rudy LaRusso,4
Guy Rodgers,4
Billy Cunningham,4
Earl Monroe,4
Connie Hawkins,4
Spencer Haywood,4
Sidney Wicks,4
Pete Maravich,4
Bob Dandridge,4
Bobby Jones,4
Maurice Lucas,4
David Thompson,4
Otis Birdsong,4
Micheal Ray Richardson,4
Bernard King,4
Maurice Cheeks,4
Bill Laimbeer,4
Rolando Blackman,4
Alvin Robertson,4
Tom Chambers,4
Mark Price,4
Chris Mullin,4
Latrell Sprewell,4
Vin Baker,4
Anfernee Hardaway,4
Alonzo Mourning,4
Chris Webber,4
Rasheed Wallace,4
Ben Wallace,4
Shawn Marion,4
John Wall,4
Paul Millsap,4
Jimmy Butler,4
Kemba Walker,4
Karl-Anthony Towns,4
Donovan Mitchell,4
Arnie Risen,3
Paul Seymour,3
Red Kerr,3
Clyde Lovellette,3
Maurice Stokes,3
Terry Dischinger,3
Bill Bridges,3
Jeff Mullins,3
Dick Van Arsdale,3
Tom Van Arsdale,3
Bob Kauffman,3
Bob Love,3
Charlie Scott,3
Phil Chenier,3
Norm Van Lier,3
Doug Collins,3
George McGinnis,3
Jamaal Wilkes,3
Buck Williams,3
Mark Aguirre,3
Ralph Sampson,3
Larry Nance,3
Kevin Johnson,3
Dan Majerle,3
Detlef Schrempf,3
Glen Rice,3
Eddie Jones,3
Antoine Walker,3
Steve Francis,3
Peja Stojaković,3
Gilbert Arenas,3
Richard Hamilton,3
Rajon Rondo,3
Derrick Rose,3
Deron Williams,3
Kevin Love,3
Marc Gasol,3
DeMarcus Cousins,3
Draymond Green,3
Bradley Beal,3
Khris Middleton,3
Trae Young,3
Bam Adebayo,3
Domantas Sabonis,3
Rudy Gobert,3
Devin Booker,3
Jaylen Brown,3
Joe Fulks,2
Red Rocha,2
Frankie Brian,2
Dike Eddleman,2
Leo Barnhorst,2
Frank Selvy,2
Jack George,2
Kenny Sears,2
Walter Dukes,2
Hot Rod Hundley,2
Zelmo Beaty,2
Jerry Sloan,2
Archie Clark,2
Don Kojis,2
Joe Caldwell,2
Jimmy Walker,2
John Johnson,2
Geoff Petrie,2
Jack Marin,2
Paul Silas,2
John Drew,2
Randy Smith,2
Phil Smith,2
Brian Winters,2
Larry Kenon,2
Truck Robinson,2
Eddie Johnson,2
Reggie Theus,2
Kelly Tripucka,2
Norm Nixon,2
Gus Williams,2
Andrew Toney,2
Jim Paxson,2
Kiki Vandeweghe,2
Terry Cummings,2
Jeff Malone,2
Fat Lever,2
Kevin Duckworth,2
Dennis Rodman,2
Terry Porter,2
Larry Johnson,2
Sean Elliott,2
Danny Manning,2
Terrell Brandon,2
Allan Houston,2
Glenn Robinson,2
Jerry Stackhouse,2
Michael Finley,2
Stephon Marbury,2
Baron Davis,2
Elton Brand,2
Zydrunas Ilgauskas,2
Brad Miller,2
Antawn Jamison,2
Manu Ginóbili,2
Rashard Lewis,2
Brandon Roy,2
David West,2
David Lee,2
Zach Randolph,2
Luol Deng,2
Roy Hibbert,2
Joakim Noah,2
Jrue Holiday,2
Andre Drummond,2
Isaiah Thomas,2
Ben Simmons,2
Nikola Vučević,2
Pascal Siakam,2
Zach LaVine,2
Julius Randle,2
Ja Morant,2
Tyrese Haliburton,2
Shai Gilgeous-Alexander,2
Anthony Edwards,2
Vince Boryla,1
Ralph Beard,1
Alex Groza,1
Fred Schaus,1
Fred Scolari,1
Max Zaslofsky,1
Paul Walther,1
Don Barksdale,1
Bill Gabor,1
Ray Felix,1
Don Sunderlage,1
Jack Coleman,1
Bob Harrison,1
Nat Clifton,1
Richie Regan,1
Woody Sauldsberry,1
Chuck Noble,1
Lee Shaffer,1
Tom Meschery,1
Len Chappell,1
Luke Jackson,1
Adrian Smith,1
Eddie Miles,1
Darrall Imhoff,1
Dick Barnett,1
Walt Hazzard,1
Bob Boozer,1
Jim King,1
Clyde Lee,1
Jon McGlocklin,1
Flynn Robinson,1
Bob Rule,1
Butch Beard,1
Cazzie Russell,1
John Block,1
Bill Bradley,1
Austin Carr,1
Steve Mix,1
Sam Lacey,1
Jim Price,1
Alvan Adams,1
Fred Brown,1
Curtis Rowe,1
Scott Wedman,1
Don Buse,1
Dan Issel,1
Billy Knight,1
Lionel Hollins,1
Bill Walton,1
Calvin Murphy,1
Campy Russell,1
Bill Cartwright,1
Dan Roundfield,1
World B. Free,1
Kermit Washington,1
Mike Mitchell,1
Lonnie Shelton,1
Jeff Ruland,1
Rickey Green,1
Calvin Natt,1
Joe Barry Carroll,1
Sleepy Floyd,1
Danny Ainge,1
Doc Rivers,1
James Donaldson,1
Xavier McDaniel,1
Mark Jackson,1
Mark Eaton,1
Dale Ellis,1
A.C. Green,1
Hersey Hawkins,1
Ricky Pierce,1
Michael Adams,1
Reggie Lewis,1
Kevin Willis,1
Jeff Hornacek,1
Otis Thorpe,1
Kenny Anderson,1
B.J. Armstrong,1
Mookie Blaylock,1
Derrick Coleman,1
Horace Grant,1
Charles Oakley,1
John Starks,1
Clifford Robinson,1
Dana Barros,1
