--- When using SR data, please cite us and provide a link and/or a mention.

Player,DPOY,-9999
Jaren Jackson Jr.,1,jacksja02
Marcus Smart,1,smartma01
Rudy Gobert,3,goberru01
Giannis Antetokounmpo,1,antetgi01
Draymond Green,1,greendr01
Kawhi Leonard,2,leonaka01
Joakim Noah,1,noahjo01
Marc Gasol,1,gasolma01
Tyson Chandler,1,chandty01
Dwight Howard,3,howardw01
Kevin Garnett,1,garneke01
Marcus Camby,1,cambyma01
Ben Wallace,4,wallabe01
Metta World Peace,1,artesro01
Dikembe Mutombo,4,mutomdi01
Alonzo Mourning,2,mournal01
Gary Payton,1,paytoga01
Hakeem Olajuwon,2,olajuha01
David Robinson,1,robinda01
Dennis Rodman,2,rodmade01
Mark Eaton,2,eatonma01
Michael Jordan,1,jordami01
Michael Cooper,1,coopemi01
Alvin Robertson,1,roberal01
Sidney Moncrief,2,moncrsi01


Provided by <a href="https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool&__hstc=180814520.13754a11cc53cf816ad388416291fbd3.1711634052088.1713450509814.1713502225674.8&__hssc=180814520.3.1713502225674&__hsfp=851621926">Basketball-Reference.com</a>: <a href="https://www.basketball-reference.com/awards/dpoy.html?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#dpoy_NBA">View Original Table</a><br>Generated 4/19/2024.
